Food;Quantity(g/ml);Quantity(item);Carbohydrates(g)
मैश्ड आलू 1.5% दूध के साथ;87 g;0.5 कप;15 g
हरी सेम (बीज सहित, पका हुआ);187 g;1.5 कप;15 g
मलाई रहित दूध;240 ml;1 कप;12 g
दूध 1% या 1.5% वसा या छाछ 1.5%;240 ml;1 कप;12 g
मलाई रहित दूध पाउडर;80 ml;0.333 कप;12 g
वाष्पित दूध (वसा रहित);120 ml;0.5 कप;12 g
सोया दूध (बिना चीनी);240 ml;1 कप;12 g
दही;180 g;1 कप;12 g
दूध 2% वसा;240 ml;1 कप;12 g
दही 2% वसा वाले दूध से;180 g;1 कप;12 g
संपूर्ण दूध;240 ml;1 कप;12 g
वाष्पित दूध (डिब्बाबंद);120 ml;1/2 कप;12 g
बकरी का दूध;240 ml;1 कप;12 g
केफिर;240 ml;1 कप;12 g
